,goal_name,goal_name_key_pos,goal_weight,goal_words,goal_aver_word_len,goal_verbs_counter,goal_nouns_counter,goal_numr_counter,goal_adj_counter,goal_digit_counter,label_attractor_knowledge,label_attractor_hard_skill,label_attractor_soft_skill,label_attractor_tool,label_attractor_community,label_attractor_subjectivity,label_attractor_habits,label_attractor_career,label_attractor_fixing,label_attractor_art,label_attractor_health
7183,прочитать 10 книг по саморазвитию,прочитать 10 книга саморазвитие,1.3125,5,5.8,1,2,0,0,2,1,1,0,0,0,0,0,0,1,0,0.0
7242,получить востребованную специальность на рынке труда и не здохнуть а как то докарячитьсч до заслуженного отдыха,получить специальность рынок труд здохнуть докарячитьсча отдых,3.2279,16,6.0,2,5,0,0,0,1,1,1,0,1,1,0,1,0,0,0.0
7264,получить достойное образование и овладеть профессией,получить достойный образование овладеть профессия,0.5798,6,7.83,2,2,0,1,0,1,1,1,0,0,1,0,1,0,0,0.0
7274,получить знания,получить знание,0.0319,2,7.0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0.0
7277,стать лучше,стать,0.0303,2,5.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0
7325,тренировка для мозга,тренировка мозг,0.75,3,6.0,0,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0.0
7334,найти работу  так как в стране кризис,найти работа страна кризис,1.3197999999999999,8,3.75,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1.0
7348,преподавание по новым современным стандартам,преподавание новый современный стандарт,1.1783000000000001,5,8.0,0,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1.0
7364,приобрести новую профессию,приобрести новый профессия,0.5783,3,8.0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0.0
7385,повышение профессионального уровня,повышение профессиональный уровень,0.07329999999999999,3,10.67,0,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1.0
7401,научиться чему  то новому или усовершенствовать свои навыки или знания,научиться новый усовершенствовать свой навык знание,0.3001,11,5.45,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,1.0
7429,получить знания в процессе обучения на курсах,получить знание процесс обучение курс,0.42,7,5.57,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
7435,получение дополнительных знаний и умений в области бухгалтерского учета,получение дополнительный знание умение область бухгалтерский учёт,2.4129,9,7.0,0,5,0,2,0,1,1,1,0,0,0,0,0,1,0,0.0
7437,любопытство,любопытство,0.5,1,11.0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0.0
7458,красный диплом,красный диплом,0.7,2,6.5,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0.0
7477,развитие,развитие,0.0238,1,8.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
7487,жизнь   путь к совершенству,жизнь путь совершенство,1.5476,6,3.67,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
7509,повысить зарплату,повысить зарплата,0.38889999999999997,2,8.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
7529,повышение профмастерства,повышение профмастерство,0.5278,2,11.5,0,2,0,0,0,1,1,1,1,0,0,0,1,0,1,0.0
7542,самореализация ,самореализация,0.1111,2,7.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0
7606,для реализации себя как преподавателя,реализация преподаватель,0.7,5,6.6,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0.0
7649,на сколько я могу усвоить новый профиль,мочь усвоить новый профиль,2.2116,7,4.71,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
7664,освоение новых методик обучения,освоение новый методика обучение,0.6663,4,7.0,0,3,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
7678,дополнительный заработок,дополнительный заработок,0.45,2,11.5,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0.0
7690,получить новую профессию,получить новый профессия,0.09789999999999999,3,7.33,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
7699,повышение квалификации ,повышение квалификация,0.1389,3,7.0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0
7770,повысить уровень знаний в области интернет вещей,повысить уровень знание область интернет вещь,1.6616,7,6.0,1,5,0,0,0,1,1,1,0,1,1,0,1,0,0,0.0
7774,как можно дольше оставаться востребованной как специалист,оставаться специалист,0.42419999999999997,7,7.29,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0
7830,у меня 2 высших образования  я образована,2 высокий образование,0.2796,8,4.25,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0.0
7911,найти смысл жизни ,найти смысл жизнь,0.5952,4,3.75,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
7941,изучение нового  расширение кругозора,изучение новый расширение кругозор,0.2738,5,6.6,0,3,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0
7942,обеспечить финансовую стабильность для себя и своей семьи,обеспечить финансовый стабильность свой семья,1.9144999999999999,8,6.25,1,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0.0
7971,самореализация,самореализация,0.1111,1,14.0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0.0
7987,учится,учиться,0.1667,1,6.0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0.0
8038,обретение нового опыта,обретение новый опыт,1.1116000000000001,3,6.67,0,2,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
8076,самоцельное образование возникающее  на основании деятельности которая создает фундамент для освоения информации в психологии интернете и других сферах жизнина,самоцельный образование основание деятельность который создавать фундамент освоение информация психология интернет другой сфера жизнина,5.9237,20,7.0,1,10,0,3,0,1,1,1,0,0,0,0,1,0,0,0.0
8098,саморазвитие ,саморазвитие,0.0625,2,6.0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0.0
8116,уметь воплотить творческие стремления и замыслы в своей деятельности ,уметь воплотить творческий стремление замысел свой деятельность,3.9103,10,6.0,2,3,0,2,0,1,1,1,0,0,1,0,0,0,0,0.0
8122,самоутверждение,самоутверждение,0.5,1,15.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
8158,повышение личной грамотности,повышение личный грамотность,0.6389,3,8.67,0,2,0,1,0,1,1,1,0,1,0,0,1,0,0,0.0
8199,самообразование культурного  духовного мира   стремление к внутренне богатой личности,самообразование культурный духовный мир стремление богатый личность,3.1111,12,6.17,0,4,0,3,0,1,1,0,0,0,0,0,0,1,0,0.0
8260,быть конкурентоспособной,быть конкурентоспособный,0.5217,2,11.5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0
8346,ценные  уникальные навыки,ценный уникальный навык,2.0217,4,5.5,0,1,0,2,0,1,1,1,0,1,1,1,0,0,0,0.0
8420,профессиональный рост,профессиональный рост,0.0661,2,10.0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
8425,саморазвитие,саморазвитие,0.0625,1,12.0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0.0
8493,саморазвитие,саморазвитие,0.0625,1,12.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
8507,увеличить свои знание ,увеличить свой знание,0.5267999999999999,4,4.75,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0.0
8560,,,0.0,1,0.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0.0
8565,семья ,семья,0.0667,2,2.5,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
8647,уже никаких  в силу возраста,никакой сила возраст,2.3333,6,3.83,0,2,0,1,0,1,1,1,0,0,1,0,1,0,0,0.0
8648,повышение уровня моих знаний,повышение уровень мой знание,0.21,4,6.25,0,3,0,1,0,1,1,1,0,1,1,0,1,0,0,0.0
8656,совершенствовать свои знания и умения,совершенствовать свой знание умение,0.5892999999999999,5,6.6,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0
8669,здоровье,здоровье,0.3333,1,8.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0
8692,оставаться в курсе всех новых тенденций и решений связанных с организацией работы проектных команд,оставаться курс весь новый тенденция решение связанный организация работа проектный команда,3.5504000000000002,14,6.07,1,6,0,4,0,1,0,0,0,0,0,0,0,0,1,1.0
8700,стать директором,стать директор,1.0303,2,7.5,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0
8726,не отставать отновых знаний,отставать отновое знание,2.0123,4,6.0,1,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0.0
8742,повысить компетенцию в проф навыках,повысить компетенция проф навык,1.1361,5,6.2,1,3,0,0,0,1,1,1,0,0,1,1,1,1,0,0.0
8743,соответствовать новым стандартам преподавателя спо,соответствовать новый стандарт преподаватель спо,2.2616,5,9.2,1,3,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
8752,повышение уровня квалификации ,повышение уровень квалификация,0.1659,4,6.75,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0
8770,преподавание,преподавание,0.5,1,12.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
8772,узнать что  то новое  интересное  полезное для себя,узнать новый интересный полезный,0.2794,11,3.73,1,0,0,3,0,1,1,1,0,0,0,1,1,0,0,0.0
8815,более углубленное изучение предмета исследования,углублённый изучение предмет исследование,2.3929,5,8.8,0,3,0,1,0,1,1,0,0,1,1,0,0,1,0,0.0
8889,профессиональный рост,профессиональный рост,0.0661,2,10.0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0.0
8893,курсы повышения квалификации,курс повышение квалификация,0.2056,3,8.67,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0
8899,повышение преподавательского уровня,повышение преподавательский уровень,0.5548000000000001,3,11.0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0
8904,повышение квалификации,повышение квалификация,0.1389,2,10.5,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
8906,постоянно повышать свой уровень профмастерства,повышать свой уровень профмастерство,0.7415,5,8.4,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1.0
8931,быть всегда в теме,быть тема,0.355,4,3.75,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
8947,родиться,родиться,1.0,1,8.0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
8960,научиться грамотно и четко говорить,научиться говорить,0.54,5,6.2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
9013,работа,работа,0.0222,1,6.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
9018,узнать новое в своей профессии,узнать новый свой профессия,0.1642,5,5.2,1,1,0,2,0,1,1,1,0,1,0,0,1,1,0,0.0
9019,научиться программировать,научиться программировать,0.24000000000000002,2,12.0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0
9023,научиться программировать,научиться программировать,0.24000000000000002,2,12.0,2,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
9044,карьерный рост,карьерный рост,0.1726,2,6.5,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
9064,расширение кругозора,расширение кругозор,0.11929999999999999,2,9.5,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
9109,углубить и расширить профессиональные знания ,углубить расширить профессиональный знание,0.6974999999999999,6,6.67,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0.0
9111,получить знания,получить знание,0.0319,2,7.0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
9124,поработать экспертом на демонстрационном экзамене,поработать эксперт демонстрационный экзамен,3.1667,5,9.0,1,2,0,1,0,1,1,1,0,0,1,0,1,1,0,0.0
9135,компетентность,компетентность,0.2,1,14.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
9144,самообразование,самообразование,0.1111,1,15.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0.0
9152,цель урока,цель урок,1.0909,2,4.5,0,2,0,0,0,1,1,1,0,1,1,0,0,0,0,0.0
9219,получить знания для повышения квалификации,получить знание повышение квалификация,0.1708,5,7.6,1,3,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
9232,профессиональный рост,профессиональный рост,0.0661,2,10.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0
9242,очень важно быть в курсе развития технического процесса,быть курс развитие технический процесс,1.3622,8,6.0,1,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0.0
9252,узнать что то новое,узнать новый,0.083,4,4.0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
9280,получить общеобразовательное образование ,получить общеобразовательный образование,1.0631000000000002,4,9.5,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
9289,пройти курсы подготовки студентов к сдаче егэ,пройти курс подготовка студент сдача егэ,3.4,7,5.57,1,5,0,0,0,1,1,1,0,1,0,0,1,0,1,0.0
9292,научиться вставать раньше 6 часов утра,научиться вставать 6 час утро,4.04,6,5.5,2,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0.0
9296,деньги,деньга,0.2,1,6.0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
9303,реализовать себя как личность ,реализовать личность,0.4583,5,5.2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
9310,моя первая цель это конечно же познание своих способностей как правило некогда не знаешь на что ты способен,мой первый цель познание свой способность правило знать способный,3.0162,18,5.0,1,4,0,4,0,1,1,1,0,0,0,0,0,0,0,0.0
9372,расширить свои знания  а следовательно и возможности улучшить даваемые знания моим ученикам и воспитанники,расширить свой знание возможность улучшить знание мой ученик воспитанник,1.884,15,6.13,2,5,0,2,0,1,1,1,0,0,1,0,1,0,0,0.0
9375,хочу узнать новое в профессии от специалистов,хотеть узнать новый профессия специалист,0.40729999999999994,7,5.57,2,2,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
9481,карьерный рост,карьерный рост,0.1726,2,6.5,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0
9495,ознакомиться с новыми тенденциями,ознакомиться новый тенденция,1.5116,4,7.5,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0
9511,саморазвитие,саморазвитие,0.0625,1,12.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
9515,быть полезным,быть полезный,0.1467,2,6.0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
9528,развитие soft skills,развитие,0.0238,3,6.0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
9533,получить удовольствие,получить удовольствие,0.21960000000000002,2,10.0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0.0
9540,самообразовываться,самообразовываться,1.0,1,18.0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0.0
9562,достижения новых высот ,достижение новый высота,1.1545,4,5.0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
9571,интерес,интерес,0.2,1,7.0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0.0
9607,нет,,0.0,1,3.0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0.0
9620,123,123,1.0,1,3.0,0,0,0,0,3,1,1,1,0,0,1,1,0,0,0,0.0
9662,повышениие своей производительности ,повышениий свой производительность,2.0145,4,8.25,0,1,0,2,0,1,1,1,0,1,0,0,1,0,0,0.0
9669,закончить университет ,закончить университет,0.6,3,6.67,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
9688,получить новую информацию ,получить новый информация,0.1423,4,5.75,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0.0
9693,достигнуть весомый уровень знаний во многих сферах ,достигнуть весомый уровень знание многий сфера,1.7848,8,5.5,1,3,0,2,0,1,1,1,0,0,1,0,1,1,0,0.0
9741,духовное возвышение,духовный возвышение,1.25,2,9.0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0.0
9746,не важно,,0.0,2,3.5,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0.0
9851,закончить институт ,закончить институт,1.1,3,5.67,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
9852,улучшение навыков в изучаемой сфере,улучшение навык сфера,0.19219999999999998,5,6.2,0,3,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
9867,уверенно себя чувствовать в обществе,чувствовать общество,1.5,5,6.4,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0
9868,саморазвитие,саморазвитие,0.0625,1,12.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
9932,1,1,0.1667,1,1.0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0.0
9939,получить знания в сфере медицины ,получить знание сфера медицина,0.5774,6,4.67,1,3,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
9967,выучить немецкий,выучить немецкий,1.125,2,7.5,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0
10048,самосознание ,самосознание,1.0,2,6.0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
10097,получить больше нужную информацию,получить нужный информация,0.3307,4,7.5,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
10102,изучение английского языка,изучение английский язык,0.2864,3,8.0,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
10104,выучить третий язык ,выучить третий язык,1.1776,4,4.25,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0
10111,выучить новый язык,выучить новый язык,0.1892,3,5.33,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0.0
10129,подняться в плане карьеры на работе,подняться план карьера работа,1.5554999999999999,6,5.0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
10143,устроиться на хорошую работу  постоянно развиваться и быть полезным специалистом в своей деятельности,устроиться хороший работа развиваться быть полезный специалист свой деятельность,1.0511,14,6.29,3,3,0,3,0,1,1,0,0,1,1,0,0,0,0,0.0
10144,устроиться на хорошую работу  быть полезным специалистом в своей деятельности,устроиться хороший работа быть полезный специалист свой деятельность,0.5510999999999999,11,6.09,2,3,0,3,0,1,1,1,0,0,0,0,0,0,0,0.0
10182,повышение уровня профессиональных компетенций,повышение уровень профессиональный компетенция,0.1321,4,10.5,0,3,0,1,0,1,1,1,0,0,0,0,1,1,0,0.0
10230,быть лучше чем вчера,быть,0.0217,4,4.25,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0.0
10262,успешность,успешность,1.0,1,10.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
10275,достижение успеха,достижение успех,0.3096,2,8.0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
10277,бизнес,бизнес,0.0769,1,6.0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0.0
10289, развитие в межпрофессиональных сферах,развитие межпрофессиональный сфера,1.0693000000000001,5,6.8,0,2,0,1,0,1,1,0,0,0,0,0,1,1,0,0.0
10328,удовлетворение любопытства  в рамках становления в своей профессиональной сфере,удовлетворение любопытство рамка становление свой профессиональный сфера,2.9118,10,7.0,0,5,0,2,0,1,1,0,0,0,0,0,0,0,0,0.0
10492,благосостояние,благосостояние,1.0,1,14.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
10504,освоить тайм мэнеджмент,освоить тайм мэнеджмент,2.1429,3,7.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
10529,1,1,0.1667,1,1.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0.0
10605,1,1,0.1667,1,1.0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0.0
10613,1,1,0.1667,1,1.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0.0
10624,соответствовать времени,соответствовать время,0.5,2,11.0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.0
10626,нет,,0.0,1,3.0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0.0
10633,стать экспертом в своей сфере,стать эксперт свой сфера,0.257,5,5.0,1,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0.0
10705,самореализация,самореализация,0.1111,1,14.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
10717,английский,английский,0.0909,1,10.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0.0
10726,стать лучше себя прошлого,стать прошлое,1.0303,4,5.5,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0.0
10727,заработать большие деньги,заработать больший деньга,0.6167,3,7.67,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0.0
10731,английский язык,английский язык,0.1435,2,7.0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
10738,полноценно совмещать работу и отдых без перекосов,совмещать работа отдых перекос,2.0221999999999998,7,6.14,1,3,0,0,0,1,1,1,0,0,1,1,1,0,0,1.0
10742,освоить новую специальность,освоить новый специальность,0.27949999999999997,3,8.33,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0.0
10748,стать более подготовленным к вызовам ,стать вызов,1.0303,6,5.33,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0
10749,развитие курируемого проекта,развитие проект,0.12380000000000001,3,8.67,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
10754,расширение кругозора,расширение кругозор,0.11929999999999999,2,9.5,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0
10757,правильно организовать свое времяпрепровождение,организовать свой времяпрепровождение,2.0145,4,11.0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0.0
10767,расширение границ территориальных  человеческого общения,расширение граница территориальный человеческий общение,2.497,6,8.5,0,3,0,2,0,1,1,0,0,0,1,0,0,0,1,0.0
10770,расширение знаний  необходимых для выполнения работы,расширение знание необходимый выполнение работа,1.4204,7,6.57,0,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0.0
10774,развитие и совершенствование,развитие совершенствование,0.2738,3,8.67,0,2,0,0,0,1,1,1,0,0,1,0,1,0,0,0.0
10788,доказать себе  что я что то могу,доказать мочь,0.7,8,3.12,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0
10795,получить знания о новых профессиях ,получить знание новый профессия,0.11019999999999999,6,5.0,1,2,0,1,0,1,1,1,1,0,0,0,1,0,0,0.0
10828,быть в курсе,быть курс,0.08839999999999999,3,3.33,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0
10850,психология поведения,психология поведение,0.7,2,9.5,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
10866,научится учиться,научиться учиться,0.2067,2,7.5,2,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0.0
10885,получить альтернативные источники личного дохода,получить альтернативный источник личный доход,2.464,5,8.8,1,2,0,2,0,1,1,1,0,0,1,0,0,0,0,0.0
10900,улучшение финансового положения,улучшение финансовый положение,0.9582999999999999,3,9.67,0,2,0,1,0,1,1,0,1,0,0,0,1,0,0,0.0
10902,профессионализм,профессионализм,0.25,1,15.0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
10939,быть успешной ,быть успешный,0.1646,3,4.0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.0
10941,приобретение новых навыков  ,приобретение новый навык,0.1762,5,4.8,0,2,0,1,0,1,1,1,0,0,1,0,1,0,0,0.0
10969,узнать границы своих возможностей,узнать граница свой возможность,0.5303,4,7.5,1,2,0,1,0,1,1,0,1,0,1,0,1,0,0,0.0
11023,хорошее беззаботное будущее  семья в достатке  голова  которая будет легко справляться со всеми проблемами  все как у всех,хороший беззаботный будущее семья достаток голова который быть справляться весь проблема весь,5.159800000000001,22,4.59,2,5,0,5,0,1,1,0,0,0,0,0,0,0,0,0.0
11063,повысить икт компетентность,повысить икт компетентность,0.7556,3,8.33,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
11065,повысить икт компетентность,повысить икт компетентность,0.7556,3,8.33,1,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
11072,семья,семья,0.0667,1,5.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0.0
11098,повышение интеллекта ,повышение интеллект,0.3611,3,6.33,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
11105,карьера,карьера,0.2,1,7.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0.0
11128,быть хорошим человеком ,быть хороший человек,0.1366,4,5.0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
11134,успешно окончить колледж,окончить колледж,0.75,3,7.33,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
11146,отвезти родителей в хадж на мекку,отвезти родитель хадж мекка,3.5,6,4.67,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
11163,начать свой проект,начать свой проект,1.1145,3,5.33,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0.0
11164,2,2,0.125,1,1.0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0.0
11182,развитие личностных качеств: волевую сферу  эмоциональную,развитие личностный волевой сфера эмоциональный,2.2122,7,7.29,0,2,0,3,0,1,1,0,1,0,0,0,1,0,0,0.0
11195,получить новые знания,получить новый знание,0.0435,3,6.33,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
11211,получение новых знаний и умений,получение новый знание умение,0.1578,5,5.4,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0
11217,саморазвитие,саморазвитие,0.0625,1,12.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
11221,быть востребованным ,быть,0.0217,3,6.0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
11222,успехи в практической деятельности,успех практический деятельность,0.3959,4,7.75,0,2,0,1,0,1,1,1,0,0,0,0,1,1,0,0.0
11223,самореализация ,самореализация,0.1111,2,7.0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0.0
11232,зарплата,зарплата,0.3333,1,8.0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
11235,повышение профессиональных знаний и навыков ,повышение профессиональный знание навык,0.0803,6,6.5,0,3,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
11236,повышение профессиональных навыков ,повышение профессиональный навык,0.06799999999999999,4,8.0,0,2,0,1,0,1,0,1,0,0,1,0,1,0,0,0.0
11264,постоянно повышать свой профессиональный уровень  быть в тренде,повышать свой профессиональный уровень быть тренд,0.5317000000000001,9,6.11,2,2,0,2,0,1,1,1,0,0,0,0,1,0,0,0.0
11267,не отстать от более молодых коллег,отстать молодой коллега,2.3333,6,4.83,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0.0
11285,повышение профессионального мастерства,повышение профессиональный мастерство,1.0463,3,12.0,0,2,0,1,0,1,1,1,0,1,0,0,1,0,0,0.0
11295,стать лучше большинства,стать большинство,1.0303,3,7.0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1.0
11313,купить квартиру,купить квартира,0.5333,2,7.0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0.0
11328,самообразование сосредотачивает внимание на конкретном предмете изучения,самообразование сосредотачивать внимание конкретный предмет изучение,3.004,7,9.43,1,4,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
11361,общение ,общение,0.1111,2,3.5,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
11362,профессиональный рост,профессиональный рост,0.0661,2,10.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0.0
11363,познакомиться с педагогами других регионов,познакомиться педагог другой регион,1.6944,5,7.6,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0
11372,профессиональный рост,профессиональный рост,0.0661,2,10.0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0.0
